book,dawnrunner_relevance,demidius_relevance,divinity,influence,infrastructure,magical_supremacy,name,notes,other_character_relevance,pdf_page,prerequisites,probability,publisher,rating,summary,tags,type,verification_status
Advanced Options: Fight Like a Pirate,Medium,Low,0,0,2,0,Ex-Conscript,,Crew NPC,1,,0,Super Genius Games,C,Strong swimming and scaling charge benefits replace fast movement and defensive features.,nautical;archetype;boarding,Barbarian archetype,Verified
Advanced Options: Fight Like a Pirate,Very High,Low,0,5,5,0,Ship's Officer,Best officer chassis in the book.,Dawnrunner officer,2,,0,Super Genius Games,A,Inspire courage plus ship-wide pennant/banner support.,leadership;crew;banner;morale,Cavalier archetype,Verified
Advanced Options: Fight Like a Pirate,High,Low,0,1,4,0,Marine,,Royal Marine,2,,0,Super Genius Games,B+,"Maritime skills, shipboard terrain mobility, pirate weapon training, and late overboard bull rush.",marine;fighter;shipboard,Fighter archetype,Verified
Advanced Options: Fight Like a Pirate,Medium,Low,0,0,3,0,Sea Dog,,Gun crew NPC,3,,0,Super Genius Games,B,Uses rigging for temporary flight and firearm attacks to manipulate ship rigging.,gunslinger;rigging;mobility,Gunslinger archetype,Verified
Advanced Options: Fight Like a Pirate,High,Low,0,0,4,1,Ship Hunter,,Anti-ship specialist,4,,0,Super Genius Games,B+,Focuses an enemy vessel for scaling attack/damage and can scuttle ships at 20th.,inquisitor;anti-ship,Inquisitor archetype,Verified
Advanced Options: Fight Like a Pirate,Medium,Low,0,1,1,1,Picaroon,,Stylish NPC,4,,0,Super Genius Games,C+,Unarmored swashbuckling magus with canny defense and rogue talents at substantial class-feature cost.,magus;rogue;swashbuckler,Magus archetype,Verified
Advanced Options: Fight Like a Pirate,High,Medium,1,3,4,1,Seaswain,Not recommended as a Demidius multiclass.,Cohort/follower chassis,5,,0,Super Genius Games,A-,"Charisma-based nautical monk with weapon flurry, surface-running, execution strike, and elemental transformation.",monk;charisma;nautical;elemental,Monk archetype,Verified
Advanced Options: Fight Like a Pirate,Very High,Low,1,5,5,1,Crown Privateer,,Marine commander,6,,0,Super Genius Games,A,Expands paladin auras and sacred defenses to all allies aboard the same ship.,paladin;aura;crew,Paladin archetype,Verified
Advanced Options: Fight Like a Pirate,S,Low,0,3,5,0,Navigator,Highest-value organizational find.,Ideal specialist follower,7,,2,Super Genius Games,S,"Cuts voyage time or encounter risk, improves crew initiative/awareness, and grants ship-related rerolls.",ranger;navigation;reroll;logistics,Ranger archetype,Verified
Advanced Options: Fight Like a Pirate,High,Low,0,2,4,2,Lookout,,Excellent lookout,8,,1,Super Genius Games,A-,Improves long-range Perception and exposes illusions with extra saves and ally support.,rogue;perception;illusion,Rogue archetype,Verified
Advanced Options: Fight Like a Pirate,Low,Low,0,0,1,0,Basket Hilt,,Crew equipment,8,,0,Super Genius Games,C,Improves CMD against disarm/sunder and gives +1 shield AC on total defense.,equipment;weapon,Weapon modification,Verified
Advanced Options: Fight Like a Pirate,Low,None,0,0,1,0,Belaying Pin,,Crew flavor,8,,0,Super Genius Games,D,Common shipboard simple club and backup weapon.,equipment;weapon,Weapon,Verified
Advanced Options: Fight Like a Pirate,Medium,Low,0,1,2,0,Cutlass,,Naval sidearm,8,,0,Super Genius Games,B-,"One-handed 18–20/x2 slashing weapon with utility against rope, cloth, leather, and wood.",equipment;weapon,Weapon,Verified
Advanced Options: Fight Like a Pirate,Medium,None,0,0,3,0,Mariner's Armor,,Shipboard troops,8,,0,Super Genius Games,B-,"Half weight and improved mobility, with reduced normal AC but full protection under cover and vs critical confirmations.",equipment;armor,Armor variant,Verified
Advanced Options: Oracle's Curses,Low,Very High,1,0,0,5,Addict,Mechanically extreme; severe operational cost.,DC-focused oracle,2,,0,Super Genius Games,A*,Drug dependency; lower-level oracle spells use the highest available spell level when determining save DC.,oracle;curse;spell-dc,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Low,0,0,0,1,Ailing,,NPC concept,2,,0,Super Genius Games,C,Fatigue and illness liabilities; adds fatigue/exhaustion debuff spells known.,oracle;curse;fatigue,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Low,0,0,0,1,Amputee,,Concept option,2,,0,Super Genius Games,C,Permanent missing hand; adds illusion and mobility spells through ethereal jaunt.,oracle;curse;spells-known,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Medium,0,0,0,0,Convulsions,Large high-level numerical benefit.,Defensive oracle,2,,1,Super Genius Games,B+,"Natural 1s disrupt held items, but grants half oracle level to Reflex saves and Escape Artist.",oracle;curse;reflex,Oracle curse,Verified
Advanced Options: Oracle's Curses,Medium,High,1,5,0,0,Drunkard,Strong Influence precedent; serious addiction risk.,Social oracle,2,,1,Super Genius Games,A*,Alcohol creates stacking Wisdom-check penalties and Charisma-check bonuses up to half oracle level.,oracle;curse;charisma;alcohol,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Low,0,1,0,0,Frail,,Skill oracle,3,,0,Super Genius Games,C,Fatigue under injury/ability damage in exchange for extra skill points and class skills.,oracle;curse;skills,Oracle curse,Verified
Advanced Options: Oracle's Curses,Medium,Medium,0,0,2,2,Insomniac,Demiplane reduces the practical drawback.,Defensive oracle,3,,0,Super Genius Games,B,Needs uninterrupted sleep but later downgrades exhaustion and gains strong resistance to sleep/fatigue magic.,oracle;curse;sleep;spell-resistance,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Medium,0,4,0,0,Misshapen,,Fear oracle,3,,0,Super Genius Games,B,"CMD penalty, scaling Intimidate bonus, and increasingly efficient area demoralization.",oracle;curse;intimidate,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Medium,1,2,0,2,Peaceful Soul,,Nonviolent oracle,3,,0,Super Genius Games,B-,"Weak attacks and no AoOs, but stronger defensive casting and eventual at-will self-sanctuary.",oracle;curse;sanctuary,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,High,1,5,0,0,Provocative,Dangerous overlap with Demidius's social fatal flaw.,Social oracle,4,,0,Super Genius Games,A-,Nonlethal vulnerability in exchange for a large Diplomacy bonus and accelerated attitude influence.,oracle;curse;diplomacy,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Medium,0,2,0,1,Squeamish,,Support oracle,4,,0,Super Genius Games,B-,Dealing HP damage sickens the oracle; grants strong Heal and disease/poison treatment.,oracle;curse;healing,Oracle curse,Verified
Advanced Options: Oracle's Curses,None,Very Low,0,0,0,0,Star-Crossed,Directly hostile to Demidius's core strategy.,Probability cautionary example,4,,0,Super Genius Games,D,Natural 11 is an automatic failure and pure chance is biased against the oracle; adds inspiration spells.,oracle;curse;luck;automatic-failure,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Very Low,0,0,0,0,Unbelievable,Conflicts with party-face role.,NPC concept,4,,0,Super Genius Games,D,Severe penalties when persuading others to accept information; scaling Sense Motive bonus.,oracle;curse;social,Oracle curse,Verified
Advanced Options: Oracle's Curses,Low,Medium,1,0,0,2,Accursed,,Curse defense,5,"Cha 13, oracle's curse",0,Super Genius Games,B,+4 AC against curse attacks and +4 saves against curses.,feat;curse;defense,Feat,Verified
Advanced Options: Oracle's Curses,Low,High variance,1,1,0,2,Second Curse,Requires careful pairing and GM review.,Curse optimization gateway,5,"Cha 13, oracle's curse, 5th level",1,Super Genius Games,B*,Take a second curse and gain its benefits at oracle level –4.,feat;oracle;curse,Feat,Verified
Advanced Options: Oracle's Curses,Low,Medium,1,0,0,1,Suspend Curse,,Curse safety valve,5,"Wis 13, Cha 15, oracle's curse",1,Super Genius Games,B,Sacrifice a spell slot to suppress curse drawbacks for 2 rounds per spell level.,feat;oracle;curse,Feat,Verified
Advanced Options: Oracle's Curses,None,Very High risk,1,0,0,4,Variable Curse,"The CL bonus is attractive for dispel, but random liabilities are unacceptable.",Caster-level temptation,5,"Cha 13, oracle's curse",1,Super Genius Games,C*,Randomly rotate among five curses; gain +1 caster level for oracle spells.,feat;oracle;caster-level;random,Feat,Verified
Advanced Options: Witches' Hexes,Medium,Medium,0,2,0,2,Asylum,,Spirit Guide candidate,2,,0,Super Genius Games,B,Sanctuary-like protection for a nonattacking creature.,hex;defense,Hex,Verified
Advanced Options: Witches' Hexes,Medium,Low,0,1,0,1,Balm,,Support,2,,0,Super Genius Games,C+,"Fast healing 2, later 3, for 3 + level rounds.",hex;healing,Hex,Verified
Advanced Options: Witches' Hexes,High,Medium,0,4,0,1,Beatific Smile,,Crew support,2,,0,Super Genius Games,B,Scaling morale bonus to one roll category for an ally.,hex;buff;morale,Hex,Verified
Advanced Options: Witches' Hexes,Medium,Low,0,2,0,1,Blood Boil,,Martial support,2,,0,Super Genius Games,C+,Short-duration rage effect on a touched ally.,hex;rage,Hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,0,0,1,Bungle,,Control,2,,0,Super Genius Games,C,Intelligence-based remote disarm.,hex;disarm,Hex,Verified
Advanced Options: Witches' Hexes,Medium,Low,0,0,2,1,Catseye,,Crew utility,2,,0,Super Genius Games,C,24-hour low-light vision or darkvision.,hex;senses,Hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,0,0,2,Entropy,,Anti-item control,2,,0,Super Genius Games,C,Intelligence-based sunder dealing 2d6 + level to an item.,hex;sunder,Hex,Verified
Advanced Options: Witches' Hexes,Medium,Low,0,1,2,0,Familiar Growth,,Familiar builds,2,,0,Super Genius Games,B,Turns a familiar into an animal-companion-like combat form.,hex;familiar,Hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,0,0,2,Gremlin,,Control,3,,0,Super Genius Games,C+,Intelligence-based remote grapple without becoming grappled.,hex;grapple,Hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,0,0,1,Hobble,,Control,3,,0,Super Genius Games,C,Intelligence-based remote trip.,hex;trip,Hex,Verified
Advanced Options: Witches' Hexes,Low,None,0,0,0,0,Medusa Locks,,NPC flavor,3,,0,Super Genius Games,D,Intelligence-based natural hair attack usable while grappled.,hex;natural-attack,Hex,Verified
Advanced Options: Witches' Hexes,Medium,Low,0,0,3,0,Scuttle,,Shipboard mobility,3,,0,Super Genius Games,C+,Scaling climb mastery and eventual climb speed.,hex;climb,Hex,Verified
Advanced Options: Witches' Hexes,Medium,Medium,0,1,1,2,Shadows,,Infiltration/control,3,,1,Super Genius Games,B-,Creates enforced dim light that magic light cannot fully negate.,hex;darkness,Hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,0,0,1,Wail,,Positioning,4,,0,Super Genius Games,C,Intelligence-based remote bull rush.,hex;bull-rush,Hex,Verified
Advanced Options: Witches' Hexes,High,High,0,4,4,1,Whispers,,Skill/crafting support,4,,1,Super Genius Games,A,"Grants half witch level to one skill, with duration based on the skill.",hex;skill;crafting,Hex,Verified
Advanced Options: Witches' Hexes,High,Medium,0,2,4,0,Will-O'-Wisp,,Security/watch,4,,1,Super Genius Games,B+,"Hour-long light granting +4, later +8, Perception in its area.",hex;perception;security,Hex,Verified
Advanced Options: Witches' Hexes,High,High,4,2,4,1,Ally,,Planar support,4,,0,Super Genius Games,A,"Material-component-free lesser planar ally, upgrading to planar ally.",major-hex;planar-ally,Major hex,Verified
Advanced Options: Witches' Hexes,High,Medium,1,3,5,1,Cornucopia,,Logistics/buff,4,,0,Super Genius Games,A-,Enhanced provisions; later long-duration heroes' feast.,major-hex;heroes-feast;logistics,Major hex,Verified
Advanced Options: Witches' Hexes,Medium,Very High,0,2,0,5,Doom Gaze,,Save-debuff setup,4,,1,Super Genius Games,S-,"Penalty to AC, checks, attacks, saves, or skills; scales to –8 at 16th.",major-hex;debuff;saving-throws,Major hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,0,0,1,Infestation,,Summoning/control,4,,1,Super Genius Games,C+,Controlled swarm with scaling luck bonuses.,major-hex;swarm;luck,Major hex,Verified
Advanced Options: Witches' Hexes,Low,High,1,5,0,3,Kiss of Oblivion,,Influence/enchantment,5,,0,Super Genius Games,A-,Modify memory through a kiss.,major-hex;memory;enchantment,Major hex,Verified
Advanced Options: Witches' Hexes,Medium,Very High,0,3,0,5,Mock,,Action-denial,5,,1,Super Genius Games,A+,"Staggers a target for level rounds, with repeated saves and once/day targeting.",major-hex;staggered;language-dependent,Major hex,Verified
Advanced Options: Witches' Hexes,High,Medium,0,2,3,2,Restoration,,Crew recovery,5,,0,Super Genius Games,B+,"Lesser restoration, neutralize poison, remove disease; later heal-like condition removal.",major-hex;restoration,Major hex,Verified
Advanced Options: Witches' Hexes,High,Very High,1,2,5,4,Rune Hex,,Preparation and security,5,,2,Super Genius Games,A+,Stores a known hex in a touch/read-triggered rune.,major-hex;rune;contingency,Major hex,Verified
Advanced Options: Witches' Hexes,Low,High,1,5,0,3,Allure,,Mass influence,5,,0,Super Genius Games,A,Sympathy centered on the witch.,grand-hex;sympathy;enchantment,Grand hex,Verified
Advanced Options: Witches' Hexes,Low,Low,0,1,0,2,Kiss of Death,,Lethal NPC option,6,,0,Super Genius Games,C,Finger of death through a kiss.,grand-hex;death,Grand hex,Verified
Advanced Options: Witches' Hexes,Very High,Medium,1,5,5,0,Retainers,,Organization building,6,,0,Super Genius Games,A+,"Leadership-like retainers, adding Intelligence to score and replacing cohort with multiple special retainers.",grand-hex;leadership;retainers,Grand hex,Verified
Advanced Options: Witches' Hexes,Medium,Medium,1,1,2,3,Shapeshift,,Aristea/shapeshifter,6,,0,Super Genius Games,A,Shapechange without focus for 5 minutes/level per day.,grand-hex;shapechange,Grand hex,Verified
Advanced Options: Witches' Hexes,High,Very High,3,4,4,5,Wish Giver,,Strategic flexibility,6,,2,Super Genius Games,S,Grant another creature a limited wish once/day without material component.,grand-hex;limited-wish,Grand hex,Verified
Advanced Options: Witches' Hexes,Medium,Medium,0,1,1,2,Enlarge Hex,,Hex users,6,"Int 13, hex class feature",0,Super Genius Games,B,Double the range of a non-touch hex several times/day.,feat;hex;range,Feat,Verified
Advanced Options: Witches' Hexes,Medium,High,0,1,0,3,Hex Expertise,,Hex users,6,"Int 13, hex class feature",1,Super Genius Games,A,Use a selected once-per-24-hours hex twice on the same target.,feat;hex;frequency,Feat,Verified
Advanced Options: Witches' Hexes,Low,High,0,1,0,4,Hex Focus,,Offensive hex users,6,"Int 13, hex class feature",0,Super Genius Games,A,Increase one selected hex's save DC by 2.,feat;hex;save-dc,Feat,Verified
Advanced Options: Witches' Hexes,Medium,Very High,0,1,0,4,Quicken Hex,,Action economy,6,"Int 13, major hex class feature",0,Super Genius Games,A+,Use a hex as a swift action once/day; later works on a major hex.,feat;hex;swift-action,Feat,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,1,1,Airburst Rocket,,Bomb specialist,2,,0,Super Genius Games,B-,Area rocket bomb with 60-foot range and 20-foot splash radius.,discovery;bomb;area,Discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,0,0,4,0,Amphibious Mutagen,,Aquatic crew,2,,0,Super Genius Games,B,Mutagen grants swim speed and underwater breathing.,discovery;mutagen;aquatic,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,0,2,Barb Bomb,,Battlefield control,2,,0,Super Genius Games,B,Bomb halves movement until healed or barbs are removed.,discovery;bomb;slow,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,0,4,Blinding Bomb,,Control alchemist,2,,0,Super Genius Games,A-,Replaces bomb damage with permanent blindness on direct hit and 1-round splash blindness.,discovery;bomb;blindness,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,1,Burst Bomb,,Bomb shape,2,,0,Super Genius Games,C,Bomb explodes as a 20-foot cone centered adjacent to the alchemist.,discovery;bomb,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,1,Chitinous Mutagen,,Defense,2,,0,Super Genius Games,C+,Mutagen grants +4 enhancement natural armor.,discovery;mutagen;armor,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,3,0,Cliffwalking Mutagen,,Shipboard mobility,2,,0,Super Genius Games,C+,Mutagen grants climb speed equal to half base speed.,discovery;mutagen;climb,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,0,3,Deafening Bomb,,Anti-caster support,2,,0,Super Genius Games,B+,Bomb permanently deafens on a failed Fortitude save.,discovery;bomb;deafened,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,2,Essence of Aberration,,Defense,2,,0,Super Genius Games,B,Mutagen gains 50% critical/sneak negation and darkvision.,discovery;mutagen;fortification,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,2,0,Essence of the Cheetah,,Mobility,2,,0,Super Genius Games,B,"Mutagen grants +30-foot haste bonus to speed, capped at double speed.",discovery;mutagen;speed,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,1,2,0,Essence of the Eagle,,Lookout support,2,,0,Super Genius Games,C+,Mutagen grants low-light vision and +4 sight-based Perception.,discovery;mutagen;perception,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,1,2,0,Essence of the Wolf,,Tracking/security,2,,0,Super Genius Games,C+,Mutagen grants scent.,discovery;mutagen;scent,Discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,0,0,4,2,Explosive Trap,,Ship/demiplane security,3,,0,Super Genius Games,B+,Turns a bomb into a proximity trap with high detection/disarm DC.,discovery;bomb;trap,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,0,High Explosive,,Damage alchemist,3,,0,Super Genius Games,C+,Spend two bombs for two additional damage dice.,discovery;bomb;damage,Discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,0,2,4,0,Homunculus,,Workshop/security,3,,0,Super Genius Games,A-,"Gain a homunculus familiar, replaceable for 1,000 gp and one day.",discovery;homunculus;familiar,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,0,Minibomb,,Bomb endurance,3,,0,Super Genius Games,B-,Reduce bomb damage by two dice to spend only half a daily bomb use.,discovery;bomb;efficiency,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,1,1,2,Phantom Mutagen,,Infiltration,3,,1,Super Genius Games,A-,Mutagen grants greater invisibility at class level.,discovery;mutagen;invisibility,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,Low,0,0,0,3,Potent Extract,,Alchemist buffing,4,,0,Super Genius Games,A-,Treat extract caster level as 2 higher.,discovery;extract;caster-level,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,Low,0,0,0,2,Preserved Extract,,Buff duration,4,,0,Super Genius Games,B,Increase extract durations over 1 round by 50%.,discovery;extract;duration,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,2,1,Rocket,,Ship combat,4,,0,Super Genius Games,B-,"Bomb range 40 feet, or 60 feet with one less damage die.",discovery;bomb;range,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,1,Vital Extract,,Sustain,4,,0,Super Genius Games,C+,"Every consumed extract heals Intelligence modifier, capped by extract level.",discovery;extract;healing,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,0,0,Volatile Bomb,,Damage alchemist,4,,0,Super Genius Games,C+,"Bombs gain 19–20 threat range, improving with Improved Critical.",discovery;bomb;critical,Discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,None,0,0,3,0,Durable Creations,,Device specialist,6,,0,Super Genius Games,B,Makes spagyric devices much harder to break or removes their energy vulnerability.,discovery;spagyric;durability,Spagyric discovery,Verified
Advanced Options: Alchemists' Discoveries,High,Low,1,1,5,2,Esoteric Studies,,Crafting/infrastructure,6,,0,Super Genius Games,A+,Select two spells per class level from any list to expand item prerequisites for devices.,discovery;spagyric;spell-access;crafting,Spagyric discovery,Verified
Advanced Options: Alchemists' Discoveries,S,Low,0,4,5,0,Mass Production,,Outfitting followers,6,,0,Super Genius Games,S-,Duplicate devices count at half and then quarter cost against the daily device limit.,discovery;spagyric;mass-production,Spagyric discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,Low,0,0,0,2,Metamorph,,Transformation,7,,0,Super Genius Games,B,Once/day polymorph or baleful polymorph through metamorphosis.,discovery;metamorphosis;polymorph,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,1,0,Noble Metamorphosis,,Economic flavor,8,,0,Super Genius Games,C,Improves daily base-material conversion value.,discovery;metamorphosis;economy,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,1,0,Royal Metamorphosis,,Economic flavor,8,,0,Super Genius Games,C,Further improves daily base-material conversion value.,discovery;metamorphosis;economy,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,1,1,2,4,Ultimate Metamorph,,Strategic transmutation,8,,1,Super Genius Games,A,Once/day polymorph any object.,discovery;metamorphosis;polymorph-any-object,Metamorphosis discovery,Verified
Advanced Options: Alchemists' Discoveries,Very High,Low,1,3,5,1,Spagyric Devices,Extremely strong infrastructure feature; requires GM scrutiny.,Dawnrunner quartermaster/crafter,4,,0,Super Genius Games,S-,"Replace bombs, mutagen, or extracts with a daily reconfigurable pool of magic-item-like devices based on a level-scaled gp limit.",alternate-alchemy;spagyric;magic-items;crafting,Alternate alchemy feature,Verified
Advanced Options: Alchemists' Discoveries,Medium,Low,0,0,2,2,Metamorphosis,,Transmutation specialist,7,,0,Super Genius Games,B,Replace a core alchemy feature with material transmutation plus ranged deterioration/transfiguration effects.,alternate-alchemy;metamorphosis,Alternate alchemy feature,Verified
Advanced Options: Alchemists' Discoveries,High,None,0,1,4,0,Extra Devices,,Device specialist,8,Spagyric devices,0,Super Genius Games,A-,Use the spagyric gp limit of an alchemist one level higher.,feat;spagyric,Feat,Verified
Advanced Options: Alchemists' Discoveries,Low,None,0,0,1,1,Extra Metamorphosis,,Metamorphosis specialist,8,Metamorphosis,0,Super Genius Games,B,Gain two additional great metamorphosis uses/day; stackable.,feat;metamorphosis,Feat,Verified
Advanced Options: Cavaliers' Orders,Low,Medium,0,0,0,3,Dauntless,,,3,,2,Super Genius Games,A-,"At 2nd level, the cavalier unbending as the weapons they favor. gains a +4 bonus to saving throws against Alignment: Any lawful. fear effects. When he does suffer a fear effect,",fear,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Bold,,,3,,0,Super Genius Games,C,"At 8th level, the cavalier can use some respect to all his fearless dedication to rise to the challenge laws which are applied when suffering from disadvantageous evenly and designed prove his bravery. He must be valorous in circumstances. If the cavalier has a penalty to maintain order. He deed, bold in his actions, and supp",fear;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Master of the Glaive,,,4,,0,Super Genius Games,C,"At 15th level, the is threatening the target. This bonus increases cavalier gains Whirlwind Attack as a bonus by +1 for every four levels the cavalier possesses. feat, but only when wielding a glaive or Skills: An order of the glaive cavalier adds other polearm with reach. The cavalier does Knowledge (nobility) (In",,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Student of the Glaive,,,4,,0,Super Genius Games,C,"At 2nd level, the of the individual. These cavaliers strongly CMD against attacks made by the target cavalier receives Weapon Focus (glaive) as a believe in loyalty, respect, and friendship of his challenge. This bonus increases by +2 bonus feat. In addition, as an immediate action, and aggressively defend the rights of the for every four",challenge;ship,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Medium,0,0,0,3,Griffon’s Stubbornness,,,4,,2,Super Genius Games,A-,"At 2nd level, Way of the Glaive (Ex): At 8th level, the cavalier Edicts: The cavalier must remain fiercely the cavalier gains a +2 bonus to his Will gains a +1 bonus on attack rolls and damage loyal to his friends and allies. He must saving throws. rolls with a glaive or other polearm with reach. defend every sentie",damage,Class option,Verified — content-level extraction
