book,dawnrunner_relevance,demidius_relevance,divinity,influence,infrastructure,magical_supremacy,name,notes,other_character_relevance,pdf_page,prerequisites,probability,publisher,rating,summary,tags,type,verification_status
Advanced Options: Cavaliers' Orders,Low,Medium,0,0,0,3,Way of the Glaive,,,4,,2,Super Genius Games,A-,"At 8th level, the cavalier Edicts: The cavalier must remain fiercely the cavalier gains a +2 bonus to his Will gains a +1 bonus on attack rolls and damage loyal to his friends and allies. He must saving throws. rolls with a glaive or other polearm with reach. defend every sentient being’s right to free Call of the Griff",damage,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Call of the Griffon,,,4,,0,Super Genius Games,C,"At 8th level, the These bonuses increase by +1 for every four will and oppose slavery in all forms. He must cavalier can call a griffon to serve as his cavalier levels beyond 8th. In addition, the dedicate himself to promoting free",,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Order of the Rose order of the rose gains the following abilities as,,,5,,0,Super Genius Games,C,"Order of the Rose order of the rose gains the following abilities as Cavaliers who join the order of the does not use the animal companion rules he increases in level. rose devote their lives to the cause of for advancement. Instead, the griffon is",,Cavalier order,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,This griffon is always considered helpful Freedom’s Child,,,5,,0,Super Genius Games,C,"At 15th level, the Skills: An order of the rose cavalier adds toward the cavalier, and it requires only cavalier is the epitome of freedom and free Heal (Wis) and Knowledge (religion) (Int) to three weeks of practice and training before will. Whenever the cavalier makes a Will his list of class skills. When making Knowledge becoming comfo",,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,3,Banner of Good,,,6,,0,Super Genius Games,C,"At 8th level, the Skills: An order of the secret flame cavalier’s banner ability bonuses increase by +2. cavalier adds Knowledge (arcana) (Int) and This bonus affects only allies who are good. Use Magic Device (Cha) to his list of class Righteous Challenge (Ex): At 15th level, the",magic;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,3,Righteous Challenge,,,6,,0,Super Genius Games,C,"At 15th level, the skills. Whenever he makes a Use Magic cavalier can make a righteous challenge once Device to activate an item a sorcerer or per day against an evil target. This functions wizard could use, he receives a bonus on like a normal challenge, but the cavalier adds his",magic;challenge,Feat,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,High,Low,0,0,4,3,Touch of Magic,,,6,,0,Super Genius Games,B,"At 2nd level, the Successful attacks from a righteous challenge cavalier gains the ability to cast read magic automatically bypass any DR the evil creature at will as a spell-like ability. The cavalier might possess.",spell;magic;ally;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,3,Master of the Secret Flame,,,6,,0,Super Genius Games,C,"At 15th graduates of a specific school, or even the vast secret flame cavalier issues a challenge, he level, the cavalier gains the power to cast idea of arcane magic. These cavaliers go to receives a +1 dodge bonus to his AC against",magic;challenge,Class option,Verified — content-level extraction
Advanced Options: Cavaliers' Orders,Low,Low,0,0,0,0,Trample,,,7,,0,Super Genius Games,C,"At 8th level, the cavalier’s mount is dedicated to the causes of evil, tyranny, (religion) (Int) to his list of class skills. In gains the trample special attack (see Universal and death. Members of this order are under addition, whenever an order of the skull no delusion",death,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Medium,Low,0,3,2,3,Guise,,,2,,0,Super Genius Games,A-,"An eidolon appears to be Ink Cloud (Ex): While underwater, an product. an ordinary (not summoned) humanoid, eidolon can emit a 10-foot-radius sphere of monstrous humanoid, animal, or magical ink once per minute as a free action. The ink beast (dependi",magic;eidolon;water,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Luminescence,,,3,,0,Super Genius Games,C,"An eidolon grows a eidolon cannot make an attack with the Shell (Ex): An eidolon has a large shell, gland similar to a firefly, glowing brightly quills without making a grapple check, similar to a turtle’s, into which it can withdraw enough to provide light in a 20-foot radius. but it counts as a secondary attack for the its extremities.",eidolon;grapple,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Metal Skin,,,3,,0,Super Genius Games,C,"An eidolon’s skin is over the entirety of its body. All creatures itself back out of its shell as a swift action. made of metal, such as bronze, copper, iron, within 30 feet must make Reflex saving Sprint (Ex): An eidolon can sprint like a or steel. The eidolon gains DR 1/—. You throws (DC 10 + one-half the eidolon’s HD cheetah. Once per",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Medium,Low,0,3,2,0,Mimicry,,,3,,0,Super Genius Games,A-,"An eidolon can assume the appearance of a creature with the same basic size and shape as the eidolon’s base form, also gaining the ability to sound like the chosen creature. The eidolon does not gain any new abilities, nor lose its old ones, though it does gain a +20 bonus to Disguise checks to appear to be a different kind of creature. T",disguise;eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,High,Low,0,0,4,0,Quills,,,3,,0,Super Genius Games,B,"An eidolon has long, sharp natural barbs over most or all of its body. When the eidolon makes a successful grapple attack, it can also automatically deal 1d6 points of piercing damage with its quills (1d8 if Large, 2d6 if Huge). The 3",ally;eidolon;damage;grapple,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Water Mastery,,,4,,0,Super Genius Games,C,An eidolon gains a +1 takes half its maximum hit points in damage by spending 1 additional evolution point bonus to attack rolls and damage rolls if both it and gains the broken condition; a second hit (maximum 3/day). The summoner must and its opponent are touching water. If neither destroys the item. Against creatures made of be at leas,eidolon;water;damage,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Bloody Spray,,,4,,0,Super Genius Games,C,"An eidolon can fire a stream point (maximum 3/day). The summoner can use this ability once per minute. of heated blood from its own eye sockets, as a must be at least 3rd level before selecting horny toad does, blinding a foe. As a standard this evolution. Formless (Ex): An eidolon has no set action, the eidolon selects one target within",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Death Roll,,,4,,0,Super Genius Games,C,"An eidolon can spin its fleshlike ooze. It can grow claws, tentacles, feet, forcing that target to make a Reflex saving head or whole body repeatedly as a swift throw (DC 10 + one-half the eidolon’s HD + the or tails (as dictated by its evolutions), but action after grappling a foe of its size or t",death;eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Medium,Low,0,3,2,0,Camouflage,,,4,,0,Super Genius Games,A-,"An eidolon’s hide, plus evolution. rolls from squeezing, and it can squeeze into any hair or fur, change coloration to match its Deafening Roar (Ex): An eidolon can spaces as if it was one size category smaller surroundings. This evolution grants the eidolon release an amazingly loud roar as a standard than its true size. An eidolon canno",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Corrode Metal,,,4,,0,Super Genius Games,C,An eidolon can cause any the normal +1 per 10 feet). The eidolon can the eidolon with Hit Dice equal to or lower metal object it touches (using any melee attack) use this ability once per day. The eidolon than the eidolon’s to make a Will saving to swiftly rust and corrode. The object touched can use this ability 1 additional time per day,eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,High,Medium,0,0,4,3,Howdah,,,5,,2,Super Genius Games,A,"An eidolon has a built-in eidolon’s HD + the eidolon’s Constitution or a Heal check with the same DC as the stench cabin appropriate for holding one creature modifier) or lose the ability to breathe air musk’s Reflex saving throw DC). The eidolon a size category smaller than it, two creatures (but gain the ability to breathe water) for 1",eidolon;water,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Metamorph,,,5,,0,Super Genius Games,C,"An eidolon can change to maneuvers, and other size modifiers. An its base form as a full-round action. It eidolon can maintain this increased size for 1 changes all its starting statistics to match minute per point of Constitution score, then the new form, loses any free evolutions must deflate (a swift action). It also deflates from its",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Medium,0,0,0,3,Suction,,,6,,2,Super Genius Games,A-,"An eidolon can create powerful Huge). An opponent hit by the darts takes the focus of the grab evolution. A summoner suction against any surface as it climbs, allowing a –1 circumstance penalty to attack rolls, must be at least 9th level before selecting it to cling to inverted surfaces with ease. An saving throws, and checks until the th",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,High,Low,0,0,4,0,Self-Destruct,,,6,,0,Super Genius Games,B,"An eidolon can swift action, and as long as it is using suction, it thorns). An eidolon can use this attack only explode, killing itself, and it automatically moves at half speed. Because of the suction, the six times in a 24-hour period, since it",ally;eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Adhesive Lash,,,6,,0,Super Genius Games,C,"As a standard action, an Dolorous Wounds (Su): An eidolon’s Suffocating Slime (Su): An eidolon can eidolon can fire out a long, sticky pseudopod natural attacks leave horrific, jagged wounds create a thick, sticky slime that makes it",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Suffocating Slime,,,6,,0,Super Genius Games,C,"An eidolon can eidolon can fire out a long, sticky pseudopod natural attacks leave horrific, jagged wounds create a thick, sticky slime that makes it similar to a frog’s tongue. The adhesive lash has that continue to bleed. Pick one bite,",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,High,Medium,0,0,4,3,Darts,,,6,,2,Super Genius Games,A-,"An eidolon has a group of needle- (DC 10 + one-half the eidolon’s HD + the can take a full-round action to make another sharp quills or spines, usually located around eidolon’s Constitution modifier) or take this Reflex saving throw to remove the slime. the head or on a tail. It can fire a cluster of these acid damage once a round for an",ally;eidolon;damage,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Medium,0,0,0,3,Gaze Attack,,,7,,2,Super Genius Games,A-,An eidolon gains a gaze cloud. The hallucination effect lasts for 1d4 attack. Only one creature can be affected rounds after leaving the area. A creature by the eidolon’s gaze attack each round. must make a new saving throw each An affected target must make a Fortitude round it remains within the affected area. saving throw (DC 10 + one-h,eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Low,0,0,0,0,Lava Puddle,,,7,,0,Super Genius Games,C,"An eidolon can, once per be at least 12th level before selecting this day as a full-round action, create a puddle evolution. To determine what hallucination of lava that fills its space to a depth of 2–3 is suffered each round, roll 1d6 and consult inches and counts as difficult terrain. Any the following table. creature that moves throug",eidolon,Class option,Verified — content-level extraction
Advanced Options: Extra Evolutions,Low,Medium,0,0,0,3,Spores,,,7,,2,Super Genius Games,A-,"As a standard action once You’ve shrunk to 1/10th your normal per minute, an eidolon can release a cloud 5 size! Take no actions for 1 round, and of invisible spores in a 20-foot radius. Each monsters won’t see you. creature within the area must succeed on a You’re melting! Grasp hold of yourself Fortitude saving throw (DC 10 + one-half t",eidolon,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Low,0,0,0,0,Accuracy,,,3,,0,Super Genius Games,C,The inquisitor’s eyes glow bonus on her CMB for all bull rush checks. with divine light. The inquisitor adds a This bonus increases by +1 for every three 5-foot sacred bonus to the range increment inquisitor levels she possesses. Unless the of any ranged weapon attack she makes. inquisitor has Improved Bull Rush (or a This bonus increases,,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Low,0,0,0,3,Alacrity,,,3,,0,Super Genius Games,C,"The inquisitor is filled with holy Freeing: The inquisitor is filled energy that grants her a sacred 5-foot bonus with a surge of divine inspiration, to all her current move rates, including granting her a +1 bonus on her CMB those gained through magic items or spells. for grap",spell;magic,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Low,0,0,0,3,Freeing,,,3,,0,Super Genius Games,C,"The inquisitor is filled energy that grants her a sacred 5-foot bonus with a surge of divine inspiration, to all her current move rates, including granting her a +1 bonus on her CMB those gained through magic items or spells. for grapple maneuver checks or Escape This bonus increase",spell;magic;grapple,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Low,0,0,0,0,Guarding,,,4,,0,Super Genius Games,C,"The inquisitor is surrounded by Unarming: The inquisitor is filled with successful hit, the target must make a Will a protective aura, granting a +1 sacred bonus divine cunning, granting her a +1 bonus on save (DC 10 + one-half the inquisitor’s level to Armor Class to adjacent allies. This bonus her CMB for all disarm maneuver checks. + h",save,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Low,0,0,0,0,Mysticism,,,4,,0,Super Genius Games,C,The inquisitor’s hands glow with inquisitor has Improved Disarm (or a similar judgment and third judgment class abilities. holy light as she gains additional spell power. ability) the attempt to perform a disarm An inquisitor must be at least 12th level The inquisitor gains a +1 sacred bonus to her maneuver provokes attacks of opportunity,spell;judgment,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Medium,0,0,0,3,Relentlessness,,,4,,2,Super Genius Games,A-,"The inquisitor’s entire body bonus to saving throws to all adjacent allies. depredations of disease, poisons, and many is bathed in a dull light, warding her against This bonus increases by +1 for every four spells. Whenever the inquisitor takes an combat maneuvers. The inquisitor gains a +2 inquisitor levels she possesses. ability drain",spell,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Medium,0,0,0,3,Theurgy,,,4,,2,Super Genius Games,A-,The inquisitor gains a boost of to force the barrier against the blocked to appear to be illuminated from beneath spellcasting inspiration. She gains a +1 sacred creature. Neutral inquisitors do not gain her skin. The inquisitor gains regeneration bonus to all caster level checks and concentration this benefit. 5. Damage with an alignment,spell;damage,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,High,Low,0,0,4,0,Revelation,,,5,,0,Super Genius Games,B,"The inquisitor’s eyes blaze with divine light. The inquisitor can see Especially with the addition of more invisible (as the spell), and she gains a bonus judgments in this product, players might to Perception checks equal to one-third her be interested in creating characters that inquisitor level. focus more strongly on judgment-wielding",spell;ally;judgment,Class option,Verified — content-level extraction
Advanced Options: Inquisitors' Judgments,Low,Low,0,0,0,0,Weakening,,,5,,0,Super Genius Games,C,"The inquisitor’s hands and a character should not be allowed to weapons glow with divine power, causing a multiclass between the two classes. Justicars successful attack with the weapon to deal 1d6 are most common in service to gods of Battle, ability score damage. Creatures struck are Strength, and War. In many lands justicars allowed a",damage,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,High,Low,0,0,4,0,Mounted Scion,,,3,,0,Super Genius Games,B,"At 15th level, the bonus increases by +1 for every four levels the cavalier can make a single ranged attack in cavalier possesses. place of a melee attack at the end of a charge. Skills: An order of the citadel cavalier adds During such a charge, the cavali",,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Deft Archer,,,3,,0,Super Genius Games,C,"At 8th level, the cavalier interests and goals of her order above her (such as being dazed, helpless, or stunned). receives a dodge bonus to AC equal to one- own and must never question or disobey Decisive Commands (Ex): At 8th level, an order third his cavalier level when mounted and a command from a superior. She must be of the citadel",,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Order of the Raven,,,4,,0,Super Genius Games,C,"Order of the Raven A cavalier of the order of the raven is an morale bonus to combat maneuver enforcer, sworn to the service of a specific",,Cavalier order,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Medium,0,0,0,3,Lord of Darkness,,,5,,2,Super Genius Games,A-,"The cavalier is so cavalier issues a challenge, she receives a +1 steeped in darkness and fear that he gains bonus to saving throws against attacks, spells, the ability to cast a spell connected to those and abilities that the target of her challenge concep",spell;fear;challenge,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Fearsome Prowess,,,5,,0,Super Genius Games,C,"At 2nd level domains. This ability does not stack with undead. whenever the cavalier scores a critical hit spellcasting ability from any other source, Order Abilities: A cavalier belonging to the against a foe, he can immediately make including prestige classes that",spell;fear,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Smite Undead,,,5,,0,Super Genius Games,C,"At 8th level, the cavalier not merely shaken). This bonus increases by might recognize that distinction, but the receives Channel Smite as a bonus feat. She can +1 at 4th level, and by an additional +1 every majority are more than willing to destroy",,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Knight of Shadows,,,5,,0,Super Genius Games,C,"At 8th level the ones.) cavalier gains darkvision out to 60 feet. (A Edicts: The cavalier must seek to destroy the Channel Smite feat. She can take other feats cavalier that already has darkvision instead all undead and put to rest those souls to add to this ability, such as Extra Channel gains low-light vision.) The cavalier also turned",,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,High,Low,0,0,4,0,Order of the Trident an order of the trident cavalier receives a,,,6,,0,Super Genius Games,B,Order of the Trident an order of the trident cavalier receives a Cavaliers belonging to this order are +1 competence bonus to attack rolls and most often members of aquatic races such damage rolls with a trident. This bonus as sea e,damage,Cavalier order,Verified — content-level extraction
Advanced Options: More Cavalier Orders,High,Low,0,0,4,0,Student of the Trident,,,6,,0,Super Genius Games,B,"At 2nd level, Order of the Trident an order of the trident cavalier receives a Cavaliers belonging to this order are +1 competence bonus to attack rolls and m",,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Undead Challenge,,,6,,0,Super Genius Games,C,"At 15th level, the trident cavalier issues a challenge, he receives trident. The cavalier does not need to meet cavalier can make an undead challenge once a +1 morale bonus to all melee damage rolls the prerequisites for this bonus feat. per day. This functions like a normal challenge, made against the target of his challenge as but it mu",challenge;damage,Feat,Verified — content-level extraction
Advanced Options: More Cavalier Orders,High,Low,0,0,4,0,Order of the Unicorn The cavalier and unicorn receive all,,,8,,0,Super Genius Games,B,Order of the Unicorn The cavalier and unicorn receive all Cavaliers who belong to this order are benefits granted from the cavalier’s mount staunch protectors of nature. The order is open class feature. The unicorn is not considered only to females of exceptionally pure virtue.,ally,Cavalier order,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Whale Call of the Unicorn,,,8,,0,Super Genius Games,C,"At 8th level, the Starting Statistics: Size Medium; Speed cavalier can call a unicorn to serve as her swim 80 ft.; AC +1 natural armor; Attack bite faithful mount, guardian, and protector for (1d6); Ability Scores Str 11, Dex 19, Con 10, Int",,Class option,Verified — content-level extraction
Advanced Options: More Cavalier Orders,Low,Low,0,0,0,0,Challenge,,,9,,0,Super Genius Games,C,"Whenever an order 11 3 +4 of the wolf cavalier issues a challenge, his 12 4 +6 mount gains a +1 morale bonus to attack 13 5 +6 rolls and damage rolls made against the 14 6 +8 target. This bonus increases by +1 for every 15",challenge;damage,Feat,Verified — content-level extraction
Advanced Options: More Cavalier Orders,High,Low,0,4,3,0,Pack Tactics,,,9,,0,Super Genius Games,A,"At 2nd level the cavalier bolster his confidence when he is operating ability once per round. In addition, the is a master of using his allies to confuse and cavalier gains a morale bonus equal to one- without support. As a free action when the unbalance his foes. The range for which he half her cavalier lev",,Class option,Verified — content-level extraction
Advanced Options: Patron Hexes,High,Low,0,0,4,0,Boneless Steps,,,1,,0,Super Genius Games,B,"The witch can grant a creature within 30 feet additional preternatural flexibility for 1 round. The target gains a bonus to all Acrobatics checks made to avoid provoking attacks of opportunity while moving through threatened spaces. This bonus is equal to the witch’s Int bonus +1/2 the witch’s level. Additionally, subjects of this hex may",ally;hex,Class option,Verified — content-level extraction
Advanced Options: Patron Hexes,Low,High,1,2,0,1,Whispers from Beyond the Grave,,,2,,4,Super Genius Games,A,"spell on it, but the effect only protects against + hit dice + Constitution modifier). The DC With a touch, the witch grants a creature the detect spells (spells with detect in the name) of this check is 10 + the witch’s Int modifier + ability to commune with the wisdom of its",spell,Class option,Verified — content-level extraction
Advanced Options: Patron Hexes,Low,Low,0,0,0,0,Elemental Warp,,,2,,0,Super Genius Games,C,The witch can grant a Primal Fury (Su): The witch can grant a Endurance Patron: creature within 30 feet the ability to change creature of the animal type that is within 30 what kind of elemental damage it deals for V,patron;damage,Class option,Verified — content-level extraction
Advanced Options: Patron Hexes,Low,Low,0,0,0,0,Primal Fury,,,2,,0,Super Genius Games,C,The witch can grant a Endurance Patron: creature within 30 feet the ability to change creature of the animal type that is within 30 what kind of elemental damage it deals for Vitality (Su): A witch can boost the life feet a burst of primitive rage for 1 round.,patron;damage,Class option,Verified — content-level extraction
