name,aliases,spell_list,school,casting_time,components,range,target_area,duration,saving_throw,spell_resistance,rules_text,reconstruction_note,source_sections
Create Master Undead,,Arcane 10; Divine 10,Necromancy [evil] (reconstructed from create greater undead),1 hour (reconstructed),"V, S, M; gemstone worth 500 gp per Hit Die (cost is direct)",Close (reconstructed),One corpse suitable for the chosen undead form,Instantaneous; control is ongoing until lost or superseded,None (reconstructed),No (reconstructed),"Creates a vampire, death knight, or lesser lich under the caster’s control. The material cost is a gemstone worth 500 gp per Hit Die of the created undead.",Effect and cost are directly transcribed. Unwritten fields follow create greater undead.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Epic Magic Missile,,Arcane 10,Evocation [force] (reconstructed from magic missile),Immediate action (direct),"V, S (reconstructed)",500 feet (direct),Up to 10 creatures; missiles can be divided among targets (reconstructed),Instantaneous,None,Yes; see special rule,"Fires 10 magic missiles that are treated as maximized, empowered, and quickened. If a spell-resistance check fails, reroll the failed spell-penetration check; if the reroll also fails, the affected missile bounces to a new opponent.","Range, action, number of missiles, metamagic treatment, reroll, and bounce rule are direct. Other fields follow magic missile.",Arcane 10 Spell Entries
Summon Monster X,,Arcane 10; Divine 10,Conjuration (summoning),1 round (reconstructed from summon monster IX),"V, S, F/DF (reconstructed)",Close (25 ft. + 5 ft./2 levels) (reconstructed),One summoned CR 18 monster (direct),1 round/level (reconstructed),None,No,Summons one CR 18 monster. The exact eligible creature list is not included in the handwritten pages.,The CR and quantity are direct; other fields follow the summon monster line.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Enchant Item,Epic Enchant Item I,Arcane 10; Divine 10,Not specified; likely transmutation or universal,Not specified,"10,000 gp in magical components (direct)",Touch or close; not specified,One masterwork item (direct),Permanent (direct),None (suggested),No (suggested),"Uses 10,000 gp worth of components to enchant any masterwork item as a +1 magic item.","All substantive rules are direct. School, casting time, and exact range are absent from the source.",Arcane 10 Spell Entries; Divine 10 Spell Entries
Raise Dead,,Arcane 10,Conjuration (healing),1 minute,"V, S, M, DF",Touch,Dead creature touched,Instantaneous,"Will negates (harmless, object)","Yes (harmless, object)",Use the standard Pathfinder raise dead spell. The handwritten page says “See Cleric Description.”,Standard PF1e spell entry.,Arcane 10 Spell Entries
Perfect Resurrection,,Arcane 10; Divine 10,Conjuration (healing) (reconstructed from true resurrection),10 minutes (reconstructed),"V, S, M/DF; 20,000 gp material cost (direct cost)",Touch (reconstructed),One dead creature,Instantaneous,None (harmless),Yes (harmless),"Witch only. Functions as true resurrection, but costs 20,000 gp. The note adds that “anything can be used,” apparently removing or relaxing the normal need for remains.","Core effect, Witch restriction, cost, and remains note are direct; other fields follow true resurrection.",Arcane 10 Spell Entries; Divine 10 Spell Entries
Cloak of the Gods,,Arcane 10; Divine 10,Abjuration (suggested),1 standard action (suggested),"V, S, DF (suggested)",Personal,You,20 minutes/level (direct),None,No,Grants damage reduction 15/-.,DR and duration are direct. Unwritten fields are conservative suggestions.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Master Finished Work I,,Arcane 10,Transmutation (reconstructed from fabricate),1 round per 10 cubic feet of material (reconstructed),"V, S, M (raw materials)",Close (reconstructed),Raw materials sufficient for the finished item,Instantaneous,None,No,Transforms raw material into one complete finished item up to 20 feet by 20 feet by 20 feet in size.,Effect and maximum size are direct; other fields follow fabricate.,Arcane 10 Spell Entries
Fog of Death,,Arcane 10,Conjuration (creation) [poison] (reconstructed from cloudkill),1 standard action,"V, S (reconstructed)",400 ft. + 40 ft./level (direct),"Fog cloud, 100-ft.-radius and 40 ft. high (direct)",1 round/level (direct),Fortitude partial (reconstructed from cloudkill),No (reconstructed),Creates a vast fog that deals damage as cloudkill.,"Damage reference, range, cloud dimensions, and duration are direct. Save and school follow cloudkill.",Arcane 10 Spell Entries
Firestorm I,Firestorm,Arcane 10,Evocation [fire] (reconstructed from fire storm),1 round (reconstructed),"V, S (reconstructed)",100 ft. + 10 ft./level (direct),Two 10-ft. cubes/level (notation interpreted from the handwritten “2 × 10-ft. cubes/level”),1 round (direct),Reflex half (reconstructed),Yes (reconstructed),Deals 20d6 points of fire damage throughout the selected area.,"Damage, range, area notation, and duration are direct or directly interpreted. Other fields follow fire storm.",Arcane 10 Spell Entries
Create Gate / Teleport Circle,,Arcane 10,Conjuration (teleportation) (reconstructed),10 minutes (reconstructed from teleportation circle),"V, M (reconstructed)",0 ft.; portal originates at the caster (reconstructed),A portal/circle to another location on the same plane,1 hour/level (direct),None,No,Creates a portal to another location within the same plane.,Effect and duration are direct. Remaining fields follow teleportation circle.,Arcane 10 Spell Entries
Master Mending,,Arcane 10; Divine 10,Transmutation (reconstructed from make whole),1 standard action (direct),"V, S (reconstructed)",Close (reconstructed),One damaged object or construct (suggested),Instantaneous,Will negates (object) (reconstructed),Yes (object) (reconstructed),Repairs 200 hit points of damage.,Action and repair amount are direct; other fields follow make whole.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Sleep of the Dead,,Arcane 10,"Enchantment (compulsion) [mind-affecting, sleep] (suggested)",1 standard action (suggested),"V, S, M (suggested)",100 ft. + 10 ft./level (direct),One creature with 20 Hit Dice or fewer (direct),1d4 days (direct),None (direct),Yes (direct),Puts the target into magical sleep for 1d4 days.,"Target limit, duration, save, SR, and range are direct. School and casting details are suggested from sleep effects.",Arcane 10 Spell Entries
Divine Name,,Arcane 10; Divine 10,Divination (suggested),Not specified,"15,000 gp sacrifice (direct); other components not specified",Not specified,One creature about whom the caster has at least minor knowledge,Instantaneous (suggested),Not specified,Not specified,Reveals the creature’s birth name. The note explicitly says that the birth name is not necessarily the creature’s given name. The caster must possess minor knowledge of the creature.,"Effect, cost, and knowledge prerequisite are direct. Other fields are absent.",Arcane 10 Spell Entries; Divine 10 Spell Entries
Death Stare,,Arcane 10,Necromancy [death] (suggested),1 standard action (suggested),"V, S (suggested)",Medium (direct),One living creature (suggested),Instantaneous,Fortitude negates (direct),No (direct),The target dies on a failed Fortitude save.,"Range, save, SR, and death effect are direct. Remaining fields are suggested.",Arcane 10 Spell Entries
Hell Fireball,,Arcane 10,"Evocation [acid, fire] (reconstructed from fireball)",1 standard action,"V, S, M (reconstructed)",400 ft. + 40 ft./level (direct),40-ft.-radius spread (direct),Instantaneous,Reflex half (reconstructed),Yes (reconstructed),Deals 10d6 fire damage plus 10d6 acid damage.,"Range, radius, and damage are direct; other fields follow fireball.",Arcane 10 Spell Entries
Epic Shield I,,Arcane 10,Abjuration [force] (reconstructed from shield),1 standard action,"V, S",Personal,You,20 minutes/level (direct),None,No,Creates a force shield that grants a +10 shield bonus to AC.,Bonus and duration are direct; other fields follow shield.,Arcane 10 Spell Entries
Epic True Strike,,Arcane 10,Divination (reconstructed from true strike),1 standard action,"V, F (reconstructed)",Personal,You,1d6+1 rounds (direct),None,No,Grants a +20 insight bonus on all attack rolls for the duration.,"Bonus, scope, and duration are direct; other fields follow true strike.",Arcane 10 Spell Entries
Epic Shadow Evocation,,Arcane 10,Illusion (shadow),1 standard action (reconstructed),"V, S (reconstructed)",As the duplicated spell,As the duplicated spell,As the duplicated spell,Will disbelief; additional saves as the duplicated spell,Yes,Duplicates an 8th-level or lower evocation spell. A creature that successfully disbelieves still takes 50% of the spell’s damage or effect.,Maximum spell level and 50% reality are direct. Other fields follow greater shadow evocation.,Arcane 10 Spell Entries
Epic Stunning Barrier,,Arcane 10; Divine 10,Abjuration (reconstructed from stunning barrier),1 standard action,"V, S (reconstructed)",Personal,You,1 minute/level (direct),Will negates the stun (direct),Yes (direct),"Grants a +5 untyped bonus to AC and a +5 untyped bonus on saving throws. Up to 20 creatures that attack you—by melee attack, ranged attack, or spell—can be stunned. Each opponent can trigger only one stun attempt from a given casting.",All major mechanics are direct. School and basic casting fields follow stunning barrier.,Arcane 10 Spell Entries; Divine 10 Spell Entries
Form of Giant II,,Arcane 10,Transmutation (polymorph) (reconstructed),1 standard action,"V, S, M (reconstructed)",Personal,You,1 minute/level (direct),None,No,"Transforms the caster to Gargantuan size and grants +8 Strength, +8 Constitution, -4 Dexterity, and +8 natural armor.","Duration, size, and ability/armor adjustments are direct. Other fields follow giant form.",Arcane 10 Spell Entries
Armor to Death,,Divine 10,"Necromancy [death, curse] (suggested)",Not specified,Not specified,Not specified,One creature or soul; not specified,"Until discharged, dispelled, or the caster dies (suggested from text)",Not specified,Not specified,"Prevents the affected soul from being resurrected. It can be countered by wish, miracle, or the death of the caster.",Effect and counters are direct. All other fields are absent.,Divine 10 Spell Entries
Epic Heal,,Divine 10,Conjuration (healing) (reconstructed from heal),1 standard action,"V, S (reconstructed)",Short: 25 ft. + 5 ft./level (direct),One creature,Instantaneous,Will half when used offensively; harmless otherwise (reconstructed),Yes; harmless when healing (reconstructed),"Heals 20 hit points per caster level, to a maximum of 500 hit points.","Healing amount, cap, and range are direct. Other fields follow heal.",Divine 10 Spell Entries
Epic Shield of Faith,,Divine 10,Abjuration (reconstructed from shield of faith),1 standard action,"V, S, M/DF (reconstructed)",Touch (reconstructed),Creature touched,20 minutes/level (direct),None,Yes (harmless) (reconstructed),Grants a +10 deflection bonus to AC.,Bonus and duration are direct. Other fields follow shield of faith.,Divine 10 Spell Entries
Epic Harm,,Divine 10,Necromancy (reconstructed from harm),1 standard action,"V, S (reconstructed)",Short: 25 ft. + 5 ft./level (direct),One creature,Instantaneous,Will half (reconstructed),Yes (reconstructed),"Deals 20 points of negative-energy damage per caster level, to a maximum of 500 hit points.","Damage, cap, negative-energy notation, and range are direct. Other fields follow harm.",Divine 10 Spell Entries
Creeping Doom,Epic Creeping Doom,Divine 10,Conjuration or transmutation; not specified,1 standard action (suggested),Not specified,400 ft. + 40 ft./level (direct),40-ft.-radius area (direct),Not specified,Not specified; likely Reflex-based for entanglement,Not specified,Entangles opponents in the area. Barbs inflict 1d6 points of Strength damage each round.,"Range, area, entanglement, and Strength damage are direct. Other fields are absent.",Divine 10 Spell Entries
Firestorm II,,Divine 10; Arcane 11,Evocation [fire],1 round (reconstructed),"V, S (reconstructed)",100 ft. + 10 ft./level (inherits Firestorm I),Two 10-ft. cubes/level (inherits Firestorm I),1d6 rounds (direct),Reflex half (reconstructed),Yes (reconstructed),"Functions as Firestorm I, including 20d6 fire damage, but persists for 1d6 rounds.",The handwritten text says “same as Firestorm I” and directly changes the duration.,Divine 10 Spell Entries; Arcane 11 Spell Entries
Mass Dominate Monster,,Divine 11; Arcane 11 (name appears crossed out on the arcane page),Enchantment (compulsion) [mind-affecting],1 round (reconstructed from dominate monster),"V, S",Close (reconstructed),One creature per caster level (direct),1 day/level (reconstructed),Will negates,Yes,Functions as dominate monster against one target per caster level.,"Target count and base-spell reference are direct. The arcane appearance is crossed out, so list access should be confirmed.",Arcane 11 Spell Entries; Divine 11 Spell Entries
Summon Monster XI,,Arcane 11; Divine 11,Conjuration (summoning),1 round (reconstructed),"V, S, F/DF (reconstructed)",Close (reconstructed),One summoned CR 22 monster (direct),1 round/level (reconstructed),None,No,Summons one CR 22 monster. The handwritten page labels this as an inserted “1.5” entry.,CR and quantity are direct; other fields follow the summon monster line.,Arcane 11 Spell Entries; Divine 11 Spell Entries
Master Finished Work II,,Arcane 11; Divine 11,Transmutation (reconstructed from fabricate),1 round per 10 cubic feet of material (reconstructed),"V, S, M (raw materials)",Close (reconstructed),Raw materials sufficient for the finished item(s),Instantaneous,None,No,"Functions as Master Finished Work I, but can create either one item up to 25 feet by 25 feet by 25 feet, or two items each up to 10 feet by 10 feet by 10 feet.",Effect and sizes are directly interpreted from the cubic notation. Other fields follow fabricate.,Arcane 11 Spell Entries; Divine 11 Spell Entries
Enchant Item II,Epic Enchant Item II,Arcane 11; Divine 11,Not specified; likely transmutation or universal,Not specified,"15,000 gp sacrifice (direct)",Touch or close; not specified,One item,Permanent (inherited from Enchant Item),None (suggested),No (suggested),"Creates a +2 magic item. The handwritten note lists a 15,000 gp sacrifice.",Bonus and cost are direct. The divine list calls the spell “Epic Enchant Item II.”,Arcane 11 Spell Entries; Divine 11 Spell Entries
Epic Particulate Form,,Arcane 11; Divine 11,Transmutation,1 standard action,"V, S, M (a pinch of fine sand)",Close (25 ft. + 5 ft./2 levels),"One creature/level, no two more than 30 ft. apart","Arcane note: 20 minutes/level. Divine note appears to read 40 minutes/level, but the first digit is partly obscured.",None (harmless),No,"Functions as particulate form: targets gain fast healing (scaling as the base spell) and immunity to bleed damage, critical hits, sneak attacks, and other precision damage. The epic version greatly extends the duration.",The base spell fields and effect are standard PF1e. The extended durations are transcribed from the two epic lists.,Arcane 11 Spell Entries; Divine 11 Spell Entries
Divine True Name,,Arcane 11; Divine 11,Divination (suggested),Not specified,"50,000 gp sacrifice (direct)",Not specified,One creature the caster knows through magical means (wording uncertain),Instantaneous (suggested),Not specified,Not specified,"An advanced form of Divine Name. It requires a 50,000 gp sacrifice and appears to require the caster to magically know or identify the target.","Cost and target prerequisite are direct, but the exact wording after “must magically…” is faint.",Arcane 11 Spell Entries; Divine 11 Spell Entries
Word of the Dead,,Arcane 11; Divine 11,Necromancy [evil] (suggested),Not specified,Not specified,Not specified,1d4 master undead,Not specified,Not specified,Not specified,Controls 1d4 master undead. No controlled undead can be more than 4 Hit Dice above the caster’s caster level.,Control quantity and HD restriction are direct. Other fields are absent.,Arcane 11 Spell Entries; Divine 11 Spell Entries
Armor of the Mass,,Arcane 11; Divine 11,Abjuration (suggested),1 standard action (suggested),"V, S, DF (suggested)",Not specified,10 targets per caster level (direct),1 hour/level (direct),None (harmless) (suggested),Yes (harmless) or no; not specified,"Each target gains a +4 luck bonus to AC, a +4 luck bonus on saving throws, and 20 additional hit points.","Target count, bonuses, hit points, and duration are direct.",Arcane 11 Spell Entries; Divine 11 Spell Entries
Ray of Destruction,,Arcane 11,Evocation (suggested),1 standard action,"V, S (suggested)",Medium (direct),One creature struck by a ranged touch attack (direct),Instantaneous,"Fortitude partial: on a successful save, damage is 10d10 (direct)",Yes (suggested),"A ray requiring a ranged touch attack. On a failed Fortitude save, it deals 2d10 points of damage per caster level with no maximum. On a successful save, it deals 10d10 damage.","Range, attack type, damage, no maximum, and save result are direct.",Arcane 11 Spell Entries
Create Roaming Hungry Pit,,Arcane 11,Conjuration (creation),1 standard action (reconstructed),"V, S, F (reconstructed)",Long (direct),40-ft.-radius extradimensional pit (direct),1 round/level (reconstructed from roaming pit),Reflex avoids falling; Reflex half against crushing damage (reconstructed),No,"Creates a hungry pit 10 feet deep per caster level, to a maximum depth of 300 feet. The pit has a 40-foot radius and can roam up to 80 feet when directed with a move action.","Range, radius, movement, depth, and maximum depth are direct. Other fields combine roaming pit and hungry pit.",Arcane 11 Spell Entries
Epic Finger of Death,,Arcane 11,Necromancy [death],1 standard action (reconstructed),"V, S, M/DF (reconstructed)",Close (reconstructed from finger of death),One living creature,Instantaneous,The note says “save vs. death” for targets with HD no greater than caster level; a successful Will save reduces the result to 10d6 damage,Yes (reconstructed),"Against a target whose Hit Dice do not exceed the caster level, a failed death save kills the target. The note also states that the spell deals 10 damage per caster level with no maximum and allows a Will save for 10d6 damage. Because two save clauses are written, GM clarification is recommended.",All damage and save wording is directly transcribed; the interaction between the two saves is ambiguous.,Arcane 11 Spell Entries
Elemental Burst,,Arcane 11,"Evocation [acid, cold, electricity, or fire] (suggested)",1 standard action,"V, S (suggested)",400 ft. + 40 ft./level (direct),50-ft.-radius burst (direct),Instantaneous,Reflex half (direct),Yes (suggested),"Deals 1d10 points of damage per caster level, maximum 30d10. Choose acid, cold, electricity, or fire when the spell is learned; that choice is permanent for that version of the spell.","Range, area, damage, cap, energy choices, selection timing, and save are direct.",Arcane 11 Spell Entries
Force Blast,,Arcane 11,Evocation [force] (suggested),1 standard action,"V, S (suggested)",400 ft. + 40 ft./level (direct),20-ft.-radius burst (direct),Instantaneous,None (direct),Yes (suggested),"Deals 1d6 points of force damage per caster level, maximum 30d6.","Range, radius, damage, cap, and no-save clause are direct.",Arcane 11 Spell Entries
Epic Dispel Magic,,Arcane 11; Divine 11,Abjuration,1 standard action,"V, S (reconstructed)",400 ft. + 40 ft./level (direct),50-ft.-radius area (direct),Instantaneous,None,No,Attempts to dispel all magical effects in the area and grants a +4 bonus on all dispel checks.,"Range, area, universal dispel intent, and +4 bonus are direct. Other fields follow dispel magic.",Arcane 11 Spell Entries; Divine 11 Spell Entries
Fog of Death II,,Arcane 11,Conjuration (creation) [poison],1 standard action,"V, S",400 ft. + 40 ft./level,"100-ft.-radius, 40-ft.-high roaming cloud",1 round/level,Fortitude partial,No,"Functions as Fog of Death, but the cloud is roaming. The movement rate and action needed to direct it are not written.",The only direct change is that the fog roams; other fields inherit Fog of Death.,Arcane 11 Spell Entries
Epic Hold Monster,,Arcane 11; Divine 11,Enchantment (compulsion) [mind-affecting],1 standard action,"V, S, M/DF (reconstructed)",Medium (direct),One creature,1 round/level (direct),Will negates; the target receives only one save attempt (direct),Yes (reconstructed),Paralyzes the target as hold monster. The target attempts its Will save only once rather than receiving repeated saves.,"Range, duration, and one-save clause are direct. Other fields follow hold monster.",Arcane 11 Spell Entries; Divine 11 Spell Entries
Epic Mage Armor,,Arcane 11,Conjuration (creation) [force],1 standard action,"V, S, F (reconstructed)",Touch (reconstructed),Creature touched,20 minutes/level (direct),None,No,Grants a +20 armor bonus to AC.,Bonus and duration are direct. Other fields follow mage armor.,Arcane 11 Spell Entries
Form of Giant IV,,Arcane 11,Transmutation (polymorph) (reconstructed),1 standard action,"V, S, M (reconstructed)",Personal,You,1 minute/level (inherited from the giant-form line),None,No,"Transforms the caster to Colossal size and grants +10 Strength, +10 Constitution, -6 Dexterity, and +10 natural armor.",Size and adjustments are direct; other fields follow giant form.,Arcane 11 Spell Entries
Absorb Energy,,Arcane 11; Divine 11,Abjuration (suggested),1 standard action (suggested),"V, S (suggested)",Personal or touch; not specified,One creature; not specified,1 minute/level (direct),None (harmless) (suggested),No (suggested),Choose one energy type when the spell is cast. Damage of that type heals the subject instead of harming it.,Duration and healing conversion are direct. Range and target are not written.,Arcane 11 Spell Entries; Divine 11 Spell Entries
Epic Mirage Arcana,,Arcane 11,Illusion (glamer),10 minutes (reconstructed from mirage arcana),"V, S (reconstructed)",Long (reconstructed),Terrain-scale area; exact size not specified,Concentration + 1 hour/level or as mirage arcana (reconstructed),Will disbelief,No,Changes the terrain as mirage arcana and can fill the illusion with apparent troops and traps. The troops and traps deal damage unless the effect is resisted or disbelieved.,Custom troops/traps effect is direct. Other fields follow mirage arcana.,Arcane 11 Spell Entries
Firestorm III,,Divine 11,Evocation [fire],1 round (reconstructed),"V, S (reconstructed)",100 ft. + 10 ft./level,Two 10-ft. cubes/level,2d6 rounds (direct),Reflex half,Yes,Functions as Firestorm II but persists for 2d6 rounds. It otherwise inherits the 20d6 damage and area of Firestorm I.,Duration change is direct; remaining fields inherit the earlier versions.,Divine 11 Spell Entries
Perfect Restoration,,Divine 11,Conjuration (healing) (reconstructed from greater restoration),3 rounds (reconstructed),"V, S, M/DF (reconstructed)",Touch,Creature touched,Instantaneous,Will negates (harmless),Yes (harmless),"Restores lost limbs and lost levels, removes curses, heals poison and disease, and removes the curse of undeath.",All listed restorative effects are direct. Other fields follow greater restoration.,Divine 11 Spell Entries
Epic Heal II,,Divine 11,Conjuration (healing),1 standard action,"V, S",Short: 25 ft. + 5 ft./level (inherited from Epic Heal),One creature,Instantaneous,Will half when used offensively; harmless otherwise,Yes; harmless when healing,"Heals 30 hit points per caster level, maximum 1,000 hit points.",Healing amount and cap are direct. Other fields inherit Epic Heal.,Divine 11 Spell Entries
Mass Harm,,Divine 11,Necromancy (reconstructed from harm),1 standard action,"V, S",Close (suggested),One target per caster level (direct),Instantaneous,Will half (reconstructed),Yes (reconstructed),Applies the harm spell to one target per caster level.,Target count and base-spell reference are direct.,Divine 11 Spell Entries
Epic Harm II,,Divine 11,Necromancy,1 standard action,"V, S",Short: 25 ft. + 5 ft./level (inherited from Epic Harm),One creature,Instantaneous,Will half,Yes,"Deals 30 points of negative-energy damage per caster level, maximum 1,000 hit points.",Damage amount and cap are direct. Other fields inherit Epic Harm.,Divine 11 Spell Entries
Bane of the Dead,,Divine 11,Necromancy [death] (suggested),1 standard action (suggested),"V, S, DF (suggested)",400 ft. + 40 ft./level (direct),50-ft.-radius blast (direct),Instantaneous,None (direct),Yes (direct),Destroys every undead creature with 20 Hit Dice or fewer in the blast.,"Range, area, HD threshold, no-save clause, and SR are direct.",Divine 11 Spell Entries
Gaia’s Wrath,,Divine 11,Transmutation [earth] (suggested),1 round (suggested),"V, S, DF (suggested)","A 5,000-ft.-long path beginning in front of the caster (direct)",100-ft.-wide tear in the earth (direct),Instantaneous; imprisonment effects persist (suggested),Reflex negates entrapment (direct),No (suggested),"Creates a tear in the earth that begins in front of the caster and travels 5,000 feet. The tear is 100 feet across. Creatures in the area that fail a Reflex save are trapped as by imprisonment. Buildings automatically fail; buildings only partly caught in the area take 10d10 damage.",All major area and effect mechanics are direct. School and supporting fields are suggested.,Divine 11 Spell Entries
Healing Aura,,Divine 11,Conjuration (healing) (suggested),1 standard action (suggested),"V, S, DF (suggested)",Personal; 30-ft.-radius emanation (direct),You and allies in the aura,1 minute/level (direct),None (harmless),No or yes (harmless); not specified,The caster gains fast healing 20. Allies within 30 feet also gain fast healing 20 while they remain in the aura.,"Duration, caster benefit, radius, ally benefit, and fast-healing value are direct.",Divine 11 Spell Entries
Amelia’s Light,,Divine 11,Evocation [light] (reconstructed from daylight),1 standard action,"V, S, DF (suggested)","Personal; 1,000-ft.-radius emanation (direct)",Area centered on the caster (suggested),1 minute/level (direct),None,No,"Creates magical daylight in a 1,000-foot radius and counters magical darkness.","Radius, duration, and countering effect are direct. Other fields follow daylight.",Divine 11 Spell Entries
Nyx’s Gift,,Divine 11,Evocation [darkness] (reconstructed from darkness),1 standard action,"V, S, DF (suggested)","Personal; 1,000-ft.-radius emanation (direct)",Area centered on the caster (suggested),Not written; 1 minute/level is a reasonable parallel to Amelia’s Light but requires GM confirmation,None,No,"Counters magical light and creates magical darkness in a 1,000-foot radius.",Countering effect and radius are direct. Duration is absent from the note.,Divine 11 Spell Entries
Epic Iron Skin,,Divine 11,Transmutation (reconstructed from iron skin),1 standard action,"V, S, M (reconstructed)",Personal,You,1 minute/level (direct),None,No,Grants a +14 natural armor bonus.,Bonus and duration are direct. Other fields follow iron skin.,Divine 11 Spell Entries
